场景,状态/LD,窗口,,HEX,数据10进制DEC,DC:6,PWM:10,转化电流幅值DC,转化电流DUTY,实际有效电流,功率/W,,IP2_input,VIP_input,V0P_input,Tcon(after OSD mixer),Tcon_output(before MOD),,,,,,,,,,,,,,,,,,,,,,
,,,B2,70A8,28840,28,168,26.66666667,0.164222874,4.379276637,,B(Cb),940,883,873,1022,1022,,,,,,,,,,,,,,,,,,,,,,
混色（红235+蓝100）,TSR计算画质/SDR,10%,B1-R,A6C0,42688,41,704,39.04761905,0.688172043,26.87147977,61,R（Cr),940,974,996,1022,1022,,,,,,,,,,,,,,,,,,,,,,
,,,G,D800,55296,54,0,51.42857143,0,0,,G(Y),0,229,234,0,0,,,,,,,,,,,,,,,,,,,,,,
,,,B2,7000,28672,28,0,26.66666667,0,0,,B(Cb),400,606,600,419,421,,,,,,,,,,,,,,,,,,,,,,
混色（红235+蓝100）,TSR计算画质/SDR,80%,B1-R,A5CC,42444,41,460,39.04761905,0.449657869,17.55806917,222,R（Cr),940,974,971,1022,1022,,,,,,,,,,,,,,,,,,,,,,
,,,G,D800,55296,54,0,51.42857143,0,0,,G(Y),0,229,209,0,0,,,,,,,,,,,,,,,,,,,,,,
,,,B2,7000,28672,28,0,26.66666667,0,0,,B(Cb),400,606,596,378,385,,,,,,,,,,,,,,,,,,,,,,
混色（红100+蓝235）,TSR计算画质/SDR,10%,B1-R,A5EB,42475,41,491,39.04761905,0.479960899,18.74133035,62,R（Cr),400,673,673,450,452,,,,,,,,,,,,,,,,,,,,,,
,,,G,D800,55296,54,0,51.42857143,0,0,,G(Y),0,153,153,0,0,,,,,,,,,,,,,,,,,,,,,,
,,,B2,716C,29036,28,364,26.66666667,0.355816227,9.488432714,,B(Cb),940,946,953,1022,1021,,,,,,,,,,,,,,,,,,,,,,
混色（红100+蓝235）,TSR计算画质/SDR,80%,B1-R,A5B6,42422,41,438,39.04761905,0.428152493,16.71833543,313,R（Cr),400,672,671,431,433,,,,,,,,,,,,,,,,,,,,,,
,,,G,D800,55296,54,0,51.42857143,0,0,,G(Y),0,153,144,0,0,,,,,,,,,,,,,,,,,,,,,,
,,,B2,714B,29003,28,331,26.66666667,0.323558162,8.62821766,,B(Cb),940,946,946,1022,1021,,,,,,,,,,,,,,,,,,,,,,
混色（红235+蓝100）,TSR计算画质/SDR,10%,B1-R,A6C0,42688,41,704,39.04761905,0.688172043,26.87147977,61,R（Cr),940,974,996,1022,1022,,,,,,,,,,,,,,,,,,,,,,
,,,G,D800,55296,54,0,51.42857143,0,0,,G(Y),0,229,234,0,0,,,,,,,,,,,,,,,,,,,,,,
,,,B2,7000,28672,28,0,26.66666667,0,0,,B(Cb),400,606,600,419,421,,,,,,,,,,,,,,,,,,,,,,
混色红多蓝少趋势,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
红色（红235）,TSR计算画质/SDR,80%,B1-R,A5FC,42492,41,508,39.04761905,0.49657869,19.39021552,314,R（Cr),940,993,984,1022,1021,,,,,,,,,,,,,,,,,,,,,,
,,,G,D800,55296,54,0,51.42857143,0,0,,G(Y),0,200,166,0,0,,,,,,,,,,,,,,,,,,,,,,
,,,B2,7000,28672,28,0,26.66666667,0,0,,B(Cb),0,402,404,0,0,,,,,,,,,,,,,,,,,,,,,,
混色（红235+蓝10）,TSR计算画质/SDR,80%,B1-R,A69A,42650,41,666,39.04761905,0.651026393,25.42103058,314,R（Cr),940,991,983,1022,1022,,,,,,,,,,,,,,,,,,,,,,
,,,G,D800,55296,54,0,51.42857143,0,0,,G(Y),0,202,170,0,0,,,,,,,,,,,,,,,,,,,,,,
,,,B2,7000,28672,28,0,26.66666667,0,0,,B(Cb),40,422,423,0,0,,,,,,,,,,,,,,,,,,,,,,
混色（红235+蓝50）,TSR计算画质/SDR,80%,B1-R,A69E,42654,41,670,39.04761905,0.654936461,25.57370944,312,R（Cr),940,983,979,1022,1022,,,,,,,,,,,,,,,,,,,,,,
,,,G,D800,55296,54,0,51.42857143,0,0,,G(Y),0,214,196,0,0,,,,,,,,,,,,,,,,,,,,,,
,,,B2,7000,28672,28,0,26.66666667,0,0,,B(Cb),200,504,502,128,128,,,,,,,,,,,,,,,,,,,,,,
混色（红235+蓝100）,TSR计算画质/SDR,80%,B1-R,A5CC,42444,41,460,39.04761905,0.449657869,17.55806917,313,R（Cr),940,974,971,1022,1022,,,,,,,,,,,,,,,,,,,,,,
,,,G,D800,55296,54,0,51.42857143,0,0,,G(Y),0,229,209,0,0,,,,,,,,,,,,,,,,,,,,,,
,,,B2,7000,28672,28,0,26.66666667,0,0,,B(Cb),400,606,596,378,385,,,,,,,,,,,,,,,,,,,,,,
混色（红235+蓝105）,TSR计算画质/SDR,80%,B1-R,A692,42642,41,658,39.04761905,0.643206256,25.11567286,312,R（Cr),940,974,971,1022,1022,,,,,,,,,,,,,,,,,,,,,,
,,,G,D800,55296,54,0,51.42857143,0,0,,G(Y),0,231,210,0,0,,,,,,,,,,,,,,,,,,,,,,
,,,B2,7000,28672,28,0,26.66666667,0,0,,B(Cb),420,616,605,404,406,,,,,,,,,,,,,,,,,,,,,,
混色（红235+蓝110）,TSR计算画质/SDR,80%,B1-R,A690,42640,41,656,39.04761905,0.641251222,25.03933343,312,R（Cr),940,972,970,1022,1022,,,,,,,,,,,,,,,,,,,,,,
,,,G,D800,55296,54,0,51.42857143,0,0,,G(Y),0,231,212,0,0,,,,,,,,,,,,,,,,,,,,,,
,,,B2,7001,28673,28,1,26.66666667,0.000977517,0.026067123,,B(Cb),440,627,614,431,431,,,,,,,,,,,,,,,,,,,,,,
混色（红235+蓝125）,TSR计算画质/SDR,80%,B1-R,A68A,42634,41,650,39.04761905,0.635386119,24.81031513,313,R（Cr),940,969,968,1022,1022,,,,,,,,,,,,,,,,,,,,,,
,,,G,D800,55296,54,0,51.42857143,0,0,,G(Y),0,236,214,0,0,,,,,,,,,,,,,,,,,,,,,,
,,,B2,700E,28686,28,14,26.66666667,0.013685239,0.36493972,,B(Cb),500,658,643,507,507,,,,,,,,,,,,,,,,,,,,,,
混色（红235+蓝150）,TSR计算画质/SDR,80%,B1-R,A59E,42398,41,414,39.04761905,0.404692082,15.80226225,312,R（Cr),940,965,964,1022,1022,,,,,,,,,,,,,,,,,,,,,,
,,,G,D800,55296,54,0,51.42857143,0,0,,G(Y),0,243,219,0,0,,,,,,,,,,,,,,,,,,,,,,
,,,B2,704B,28747,28,75,26.66666667,0.073313783,1.955034213,,B(Cb),600,709,691,634,632,,,,,,,,,,,,,,,,,,,,,,
混色（红235+蓝200）,TSR计算画质/SDR,80%,B1-R,A621,42529,41,545,39.04761905,0.532746823,20.802495,313,R（Cr),940,956,954,1022,1022,,,,,,,,,,,,,,,,,,,,,,
,,,G,D800,55296,54,0,51.42857143,0,0,,G(Y),0,258,232,0,0,,,,,,,,,,,,,,,,,,,,,,
