,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,测试条件: SDR 标准模式下不同颜色100%~10%、5%、2%、1% 窗口测试数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,白,,,,红,,,,绿,,,,,蓝,,,,,,,,,,,,,,,,,,,,,,,,,,
,窗口,x,y,功率,窗口,x,y,功率,窗口,x,y,功率,,窗口,x,y,功率,,,,,,,,,,,,,,,,,,,,,,,
,100%,0.2719853532 ,0.2776944731 ,199,100%,0.69970 ,0.30001 ,113,100%,0.14945 ,0.76449 ,108,,100%,0.144358846329653,0.0325079760965808,104,,,,,,,,,,,,,,,,,,,,,,,
,90%,0.2734020211 ,0.2786219052 ,184,90%,0.69968 ,0.30004 ,107,90%,0.14932 ,0.76441 ,85,,90%,0.147355978495653,0.0580895483346755,126,,,,,,,,,,,,,,,,,,,,,,,
,80%,0.2722674145 ,0.2790774914 ,182,80%,0.69967 ,0.30004 ,163,80%,0.14837 ,0.76446 ,85,,80%,0.14943629395834,0.0777409416233913,159,,,,,,,,,,,,,,,,,,,,,,,
,70%,0.2734066654 ,0.2794631266 ,177,70%,0.69972 ,0.30000 ,104,70%,0.14645 ,0.76451 ,84,,70%,0.149956915799188,0.081778098560298,161,,,,,,,,,,,,,,,,,,,,,,,
,60%,0.2717441967 ,0.2800010152 ,176,60%,0.69974 ,0.29997 ,103,60%,0.14430 ,0.76440 ,84,,60%,0.148866315331415,0.0727679083778248,144,,,,,,,,,,,,,,,,,,,,,,,
,50%,0.2721243518 ,0.2799817390 ,174,50%,0.68271 ,0.30608 ,135,50%,0.20101 ,0.68909 ,129,,50%,0.148017791267571,0.0628766181682337,126,,,,,,,,,,,,,,,,,,,,,,,
,40%,0.2721872047 ,0.2787356084 ,154,40%,0.68591 ,0.30486 ,116,40%,0.19157 ,0.70069 ,109,,40%,0.14755897247065,0.0571048741908636,106,,,,,,,,,,,,,,,,,,,,,,,
,30%,0.2722645782 ,0.2784145484 ,123,30%,0.68957 ,0.30356 ,87,30%,0.17968 ,0.71579 ,82,,30%,0.146932884252602,0.050518634125233,80,,,,,,,,,,,,,,,,,,,,,,,
,20%,0.2726105148 ,0.2788065999 ,118,20%,0.69998 ,0.29974 ,76,20%,0.16352 ,0.72970 ,75,,20%,0.146726364704119,0.0443640613971795,71,,,,,,,,,,,,,,,,,,,,,,,
,10%,0.2752270123 ,0.2790513095 ,96,10%,0.69457 ,0.29820 ,71,10%,0.13863 ,0.72969 ,69,,10%,0.151930381905382,0.0358486659486935,67,,,,,,,,,,,,,,,,,,,,,,,
,5%,0.2759826468 ,0.2781165245 ,68,5%,0.69333 ,0.29906 ,59,5%,0.14750 ,0.72036 ,58,,5%,0.151907899071343,0.0381411892087524,55,,,,,,,,,,,,,,,,,,,,,,,
,2%,0.2770937909 ,0.2774179419 ,55,2%,0.69213 ,0.30006 ,49,2%,0.15961 ,0.71073 ,49,,2%,0.151745697905948,0.0410358726251416,48,,,,,,,,,,,,,,,,,,,,,,,
,1%,0.2790135911 ,0.2771847081 ,47,1%,0.68880 ,0.30264 ,44,1%,0.19089 ,0.68585 ,44,,1%,0.150914308591851,0.0470777964517027,44,,,,,,,,,,,,,,,,,,,,,,,
,,0.00726939438100005 ,0.00279703091285499 ,,,0.01726995237534100 ,0.00787750168215501 ,,,0.062373629049371,0.078663897893395,,,,0.0033406898521127,0.0492701224637172,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,品红,,,,黄,,,,青,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,窗口,x,y,功率,窗口,x,y,功率,窗口,x,y,功率,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,100%,0.302346981210015,0.108696254339571,162,100%,0.423217279338208,0.535309781775669,168,100%,0.140512127324304,0.267030674016408,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90%,0.304658904840124,0.109813467724379,151,90%,0.425509947737336,0.533242285699964,144,90%,0.140456545714177,0.268175107418477,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80%,0.304827883002731,0.10982836581043,149,80%,0.423810099001968,0.534289101449435,143,80%,0.174317334568142,0.271130953771459,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70%,0.306145331892658,0.110257939694926,146,70%,0.425021281560226,0.532478201281667,139,70%,0.13966795460372,0.269262064626133,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60%,0.292122027368887,0.134567043478619,162,60%,0.422226523033331,0.533885684551762,139,60%,0.168803320370455,0.271753387253178,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50%,0.296626894909396,0.128959820521883,152,50%,0.422983528079593,0.532124629052957,138,50%,0.138415392839779,0.269978434583767,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,
